1278864,Kerrostalo | 3h + kt,"Makkarajärvenkatu 80 A 25, Hervanta, Tampere",192 800 €,52 m²,2021
1278861,Kerrostalo | 1h + kt,"Makkarajärvenkatu 80 A 24, Hervanta, Tampere",128 500 €,26 m²,2021
1278843,Kerrostalo | 2h + kt,"Makkarajärvenkatu 80 A 23, Hervanta, Tampere",149 200 €,"35,5 m²",2021
1278818,Kerrostalo | 1h + kt,"Makkarajärvenkatu 80 A 55, Hervanta, Tampere",125 800 €,26 m²,2021
1278809,Kerrostalo | 2h + kt,"Makkarajärvenkatu 80 A 46, Hervanta, Tampere",153 800 €,"35,5 m²",2021
1278815,Kerrostalo | 2h + kt + parvi,"Makkarajärvenkatu 80 A 52, Hervanta, Tampere",214 800 €,"49,5 m²",2021
1278816,Kerrostalo | 3h + kt + parvi,"Makkarajärvenkatu 80 A 49, Hervanta, Tampere",249 800 €,60 m²,2021
1278807,Kerrostalo | 1h + kt,"Makkarajärvenkatu 80 A 44, Hervanta, Tampere",123 500 €,26 m²,2021
1278805,Kerrostalo | 2h + kt,"Makkarajärvenkatu 80 A 42, Hervanta, Tampere",173 500 €,"44,5 m²",2021
1278808,Kerrostalo | 1h + kt,"Makkarajärvenkatu 80 A 45, Hervanta, Tampere",123 500 €,"25,5 m²",2021
1278806,Kerrostalo,"Makkarajärvenkatu 80 A 43, Hervanta, Tampere",247 500 €,"82,5 m²",2021
1278802,Kerrostalo | 2h + kt,"Makkarajärvenkatu 80 A 41, Hervanta, Tampere",183 500 €,"49,5 m²",2021
1278801,Kerrostalo | 2h + kt,"Makkarajärvenkatu 80 A 40, Hervanta, Tampere",151 800 €,34 m²,2021
1278799,Kerrostalo | 2h + kt,"Makkarajärvenkatu 80 A 39, Hervanta, Tampere",151 800 €,34 m²,2021
1278798,Kerrostalo | 3h + kt,"Makkarajärvenkatu 80 A 38, Hervanta, Tampere",216 200 €,60 m²,2021
1278797,Kerrostalo | 3h + kt,"Makkarajärvenkatu 80 A 37, Hervanta, Tampere",196 500 €,52 m²,2021
1278796,Kerrostalo | 1h + kt + p,"Makkarajärvenkatu 80 A 36, Hervanta, Tampere",129 800 €,26 m²,2021
1278791,Kerrostalo | 2h + kt,"Makkarajärvenkatu 80 A 10, Hervanta, Tampere",157 200 €,"44,5 m²",2021
1278788,Kerrostalo | 2h + kt,"Makkarajärvenkatu 80 A 7, Hervanta, Tampere",142 800 €,34 m²,2021
1278790,Kerrostalo | 2h + kt,"Makkarajärvenkatu 80 A 9, Hervanta, Tampere",168 200 €,"49,5 m²",2021
1278789,Kerrostalo | 2h + kt,"Makkarajärvenkatu 80 A 8, Hervanta, Tampere",142 800 €,34 m²,2021
1278782,Kerrostalo | 2h + kt,"Makkarajärvenkatu 80 A 3, Hervanta, Tampere",141 500 €,"35,5 m²",2021
1278784,Kerrostalo | 1h + kt,"Makkarajärvenkatu 80 A 4, Hervanta, Tampere",122 200 €,26 m²,2021
1278787,Kerrostalo | 3h + kt,"Makkarajärvenkatu 80 A 6, Hervanta, Tampere",197 800 €,60 m²,2021
1278785,Kerrostalo | 1h + kt,"Makkarajärvenkatu 80 A 5, Hervanta, Tampere",118 800 €,"27,5 m²",2021
1278319,Kerrostalo | 2h + kt + s + lasitettu parveke,"Puutarhakatu 20, Hämeenpuisto, Tampere",240 000 €,"44,5 m²",2018
9580650,Kerrostalo | 2h + kk + s,"Hämeenkatu 30, Keskusta, Tampere",249 000 €,45 m²,1927
20112836,Luhtitalo | 2h + kk,"Ruopionkatu 10, Muotiala, Tampere",169 000 €,39 m²,2017
20131505,"Rivitalo | 3-4h, k, kph, s, khh, 2x erill. wc, vh, lasit. p.,","Vallerinkatu 19, Epilä, Tampere",269 000 €,105 m²,1987
20185178,"Omakotitalo | 5h, avok, kph / wc, s, erill. wc, 2x vh, khh, var.,","Leipakantie 13, Viiala, Tampere",348 000 €,"115,6 m²",2004
20192192,Kerrostalo | 2H + KT,"Hatanpään puistokuja 27, Hatanpää, Tampere",212 000 €,39 m²,2019
9689061,Omakotitalo | 4-5h + k + ph + s,"Ylimännynkatu 31, Linnainmaa, Tampere",489 000 €,139 m²,2017
20129972,Kerrostalo | 1h + kt + alk + vh,"Säästäjänkuja 1, Peltolammi, Tampere",134 400 €,"29,5 m²",2019
20152153,"Omakotitalo | Oh, k, 2 mh, tkh, s, ph, khh, wc, autotalli","Marketankuja 2, Tasanne, Tampere",268 000 €,105 m²,1985
20056427,Kerrostalo | 2h + k,"Kinnarinkatu 12, Uusikylä, Tampere",163 000 €,"54,5 m²",1930
p34769,Kerrostalo | 2H + KT + S,"Koukkurannankatu 3 B 26, Vuores, Tampere","21 433,38 €",49 m²,2018
20008158,"Paritalo | 4h, k, kph, s, 2x eril. wc, vh, var., teras., auto","Sarvannankuja 2, Vehmainen, Tampere",392 000 €,"96,5 m²",2019
7941721,Luhtitalo | 2h + kk + s + lasitettu parveke,"Ruopionkatu 10, Muotiala, Tampere",219 000 €,-,2015
20162669,Rivitalo | 3h + k + s,"Välisalonkuja 8, Lielahti, Tampere",165 000 €,"74,5 m²",1974
1278533,"Kerrostalo | 3h, k, kph / khh, s, wc, lasit.p","Ratinankatu 10, Ratina, Tampere",475 000 €,96 m²,2012
1277690,"Omakotitalo | 5h, k, khh, s / ph / pkh, erill.kph / wc, 2 erill. wc, 2","Rusthollinrinne 6, Tasanne, Tampere",675 000 €,223 m²,2002
9887305,"Omakotitalo | Oh, k, 6xmh, askarteluh, elokuvateatterih, khh, pk","Muulankatu 15, Finninmäki, Tampere",437 000 €,174 m²,2007
7943698,Kerrostalo | 2h + k + s + las.parveke,"Satakunnankatu 7 A, Kyttälä, Tampere",239 000 €,61 m²,1968
9585261,Kerrostalo | 3h + k + s,"Halkoniemenkuja 1 C 65, Lentävänniemi, Tampere",272 800 €,75 m²,2019
20119559,"Kerrostalo | 3h, k, las.parv","Satakunnankatu 26, Keskusta, Tampere",288 000 €,75 m²,1960
20046719,"Paritalo | 6h, k, p, saunaos., khh, 3vh, kh, 4wc, 2 auton talli","Hiidenkatu 2 B, Tahmela, Tampere",820 000 €,165 m²,2001
20122139,"Omakotitalo | 4h, k, s, kph, 3x wc","Kankaankuja 10, Vuohenoja, Tampere",288 000 €,120 m²,-
20090431,"Kerrostalo | 2h, k, kph, vh, las. p","Insinöörinkatu 24, Hervanta, Tampere",129 000 €,61 m²,1983
20046313,"Kerrostalo | 4h, avok, kph / s, ph, 3 x eril. wc, lasip, terassi","Satamakatu 17, Kaakinmaa, Tampere",1 190 000 €,139 m²,2019
679399,"Paritalo | 4h, k, työhuone, kph, vh, wc / khh-tila","Agronominkuja 3, Veisu, Tampere",229 000 €,90 m²,1970
682287,"Kerrostalo | 2h, kt, s, parvi, parveke","Ojavainionkatu 4 C, Annala, Tampere","177 896,9 €",38 m²,2021
682284,"Kerrostalo | 1h, kt, parvi, parveke","Ojavainionkatu 4 C, Annala, Tampere",124 797 €,"22,5 m²",2021
682281,"Kerrostalo | 3h, kt, s, parvi, parveke","Ojavainionkatu 4 C, Annala, Tampere","248 859,9 €","50,5 m²",2021
682280,"Kerrostalo | 2h, kt, s, parvi, parveke","Ojavainionkatu 4 C, Annala, Tampere","164 927,8 €","33,5 m²",2021
682262,"Kerrostalo | 1h, kt, parveke","Ojavainionkatu 4 C, Annala, Tampere","103 997,5 €","26,5 m²",2021
682260,"Kerrostalo | 2h, kt, s, parveke","Ojavainionkatu 4 C, Annala, Tampere","132 872,1 €","33,5 m²",2021
682249,"Kerrostalo | 2h, kt, s, parveke","Ojavainionkatu 4 C, Annala, Tampere","143 883,6 €",38 m²,2021
682242,"Kerrostalo | 1h, kt, parveke","Ojavainionkatu 4 C, Annala, Tampere",95 433 €,"22,5 m²",2021
682237,"Kerrostalo | 1h, kt, parveke","Ojavainionkatu 4 C, Annala, Tampere","93 475,4 €",21 m²,2021
682228,"Kerrostalo | 1h, kt, parveke","Ojavainionkatu 4 C, Annala, Tampere",92 986 €,"22,5 m²",2021
682190,"Kerrostalo | 1h, kt, parveke","Ojavainionkatu 4 C, Annala, Tampere","88 826,1 €","20,5 m²",2021
682197,"Kerrostalo | 2h, kt, s, parveke","Ojavainionkatu 4 C, Annala, Tampere",124 797 €,"33,5 m²",2021
682131,"Kerrostalo | 1h, kt, s, parvi, piha","Ojavainionkatu 4 C, Annala, Tampere","126 020,5 €",28 m²,2021
682128,"Kerrostalo | 2h, kt, s, parvi, piha","Ojavainionkatu 4 C, Annala, Tampere","139 968,4 €","33,5 m²",2021
682124,"Kerrostalo | 1h, kt, parvi, piha","Ojavainionkatu 4 C, Annala, Tampere","111 827,9 €","20,5 m²",2021
664916,"Kerrostalo | 3h, kt, s wc, parvi, parveke","Tervaskatu 4 A, Vuores, Tampere","279 912,6 €","61,5 m²",2020
664967,"Kerrostalo | 4h, kt, s wc, parvi, parveke","Tervaskatu 4 A, Vuores, Tampere","309 982,2 €","66,5 m²",2020
1276492,"Kerrostalo | 1h, kk, kph, p","Takamaanrinne 3, Vuores, Tampere",103 900 €,"22,5 m²",2016
679917,"Luhtitalo | 3h, kt, s","Ruopionkatu 8 A, Muotiala, Tampere",237 700 €,"56,5 m²",2019
679831,"Luhtitalo | 2h, kt, s","Ruopionkatu 8 A, Muotiala, Tampere",214 500 €,"48,5 m²",2019
1278781,Kerrostalo | 1h + kt,"Makkarajärvenkatu 80 A 2, Hervanta, Tampere",98 700 €,23 m²,2021
1278778,Kerrostalo | 1h + kt,"Makkarajärvenkatu 80 A 1, Hervanta, Tampere",98 700 €,"25,5 m²",2021
679929,"Kerrostalo | 2h, kt, s","Ruopionkatu 8 C, Muotiala, Tampere",240 800 €,55 m²,2019
679921,"Kerrostalo | 2h, kt, s","Ruopionkatu 8 C, Muotiala, Tampere",229 900 €,55 m²,2019
1277008,"Rivitalo | 5h, k, kph / wc, s, wc, lasit.p, terassi, piha, vara","Virrenkatu 5, Muotiala, Tampere",383 000 €,100 m²,2011
20012904,"Rivitalo | 2h, k, s, kph, wc, p","Ollinojankatu 4, Lielahti, Tampere",149 000 €,"54,5 m²",1990
20106017,"Kerrostalo | 2h, k, s, kph, wc, p","Ollinojankatu 4, Lielahti, Tampere",149 000 €,"54,5 m²",1990
20153727,Kerrostalo | 4h + k,"Kankurinkatu 3, Amuri, Tampere",274 000 €,"88,5 m²",1969
p34498,Rivitalo | 4h + k + 2x erill.wc + kph + s + p,"Nahkatehtaankatu 11, Epilä, Tampere",259 000 €,84 m²,1985
20070096,"Kerrostalo | 2h, avokeittiö, kph / wc, s, lasit parveke, vh","Paavo Kolin katu 10, Hervanta, Tampere",124 000 €,55 m²,1984
20087514,"Omakotitalo | Oh, k, rh, 2mh, tkh, työh., s, ph, khh, 2xwc, p","Huhmarinkatu 24, Takahuhti, Tampere",379 000 €,102 m²,1960
681844,Omakotitalo | 4h + k + tkh + khh + kph + 2wc + s + harraste- ja säilytystiloja,"Lastutie 5 A, Viiala, Tampere",285 000 €,"163,8 m²",1973
9694879,"Rivitalo | 4h, k, kph / s, erillinen wc, vh, autotalli, varasto","Kohmankaari 1, Ristimäki, Tampere",219 000 €,101 m²,1973
9803892,"Rivitalo | 3-4h, k, s, p, harrastetila","Kurpantie 2, Järvensivu, Tampere",439 000 €,137 m²,1983
1278442,"Kerrostalo | 1h, avokeittiö","Hämeenpuisto 37, Keskusta, Tampere",110 000 €,"16,3 m²",1938
20186147,Kerrostalo | 2h + kt,"Säästäjänkuja 1, Peltolammi, Tampere",156 100 €,36 m²,2019
681852,"Kerrostalo | 1h, k","Juhannuskylänkatu 1 C, Juhannuskylä, Tampere",158 000 €,"39,5 m²",1930
678284,"Kerrostalo | 1h, tupakeit., kph / wc, ranskal. parveke","Aaronaukio 2 B, Kaleva, Tampere",181 000 €,33 m²,2017
9683593,"Omakotitalo | 7h, k, 3wc, s.os, kph, at","Nikkilänkuja 4, Hyhky, Tampere",465 000 €,167 m²,1977
20062081,Kerrostalo | 3H + K + S + P,"Tieteenkatu 12, Hervanta, Tampere",209 000 €,"64,5 m²",2013
f77988,Kerrostalo | 5h + kt + s + p,"Ranta-Tampellan katu 17 A39, Ranta-Tampella, Tampere",778 000 €,"124,5 m²",2019
f77996,Kerrostalo | 4h + kt + s + p,"Ranta-Tampellan katu 17 A35, Ranta-Tampella, Tampere",510 000 €,"80,5 m²",2019
h22463,Kerrostalo | 2h + kt + s + p,"Ranta-Tampellan katu 15 A23, Ranta-Tampella, Tampere",238 150 €,"35,5 m²",2019
20019055,"Rivitalo | 2 h, k, s","Heinämiehentie 7, Ikuri, Tampere",169 000 €,57 m²,2011
m98964,Omakotitalo | 4h + k + s lisäksi yksiö omalla sisäänkäynnillä,"Viinikankatu 3, Keskusta, Tampere",366 000 €,135 m²,1915
p34436,Kerrostalo | 1h,"Tietoraitti 6, Hervanta, Tampere",136 500 €,"28,5 m²",2017
9542543,"Paritalo | 6h, avok, khh, kph, s, 2x wc, vh, teras., autok.","Lintuviidankatu 19, Lamminpää, Tampere",259 000 €,"155,2 m²",1973
9558115,Kerrostalo | 1h + kk,"Jänislahdenkatu 8, Lentävänniemi, Tampere",62 000 €,30 m²,1978
9408160,"Kerrostalo | 2h, k, vh, kph / wc","Sammonkatu 37, Kaleva, Tampere",183 000 €,"42,5 m²",1957
1277835,"Kerrostalo | 2h, kk","Pirkankatu 21-23, Pyynikki, Tampere",125 000 €,44 m²,1935
20047419,"Kerrostalo | 2h, avok, kph / wc / s, lasit.p","Federleynkatu 44, Niemenranta, Tampere",177 000 €,"45,5 m²",2017
p34426,"Omakotitalo | 4h, k, wc, wc / kph, khh, vh, at, erill. saunarakennus","Pohjanmaantie 24, Ala-Pispala, Tampere",575 000 €,132 m²,2018
7944713,"Kerrostalo | 1h, k, kph / wc","Viljapellontie 4 C, Koivistonkylä, Tampere",108 000 €,"41,5 m²",1957
9473646,Rivitalo | 4h + k + s,"Papusenkatu 21, Pohtola, Tampere",178 000 €,88 m²,1987
7625952,Kerrostalo | 2h + kt + s + vh + lasitettu parveke,"Harankatu 13 B36, Hakametsä, Tampere",203 085 €arrow_downward207 900 €,"55,5 m²",2014
p34374,Omakotitalo | 4h + k + työtila + 2wc + ph + s,"Terälahdentie 404, Teisko, Tampere",184 000 €,110 m²,1949
675669,"Kerrostalo | 2h, kt, s, ter","Männistönkatu 3 B, Halkoniemi, Tampere",179 900 €,45 m²,2019
20127645,"Omakotitalo | 4h, k, 2x wc, 2x vh, khh, s, var, at","Risuharjunkatu 51, Rahola, Tampere",235 000 €,106 m²,1946
7944712,"Rivitalo | 3h, k, khh, kph / s, wc, 2 x vh, terassi, varasto","Arkkitehdinkatu 17 G, Tampere",180 000 €,"79,5 m²",1985
20126567,Rivitalo | 2 mh + k + oh + et + kph + vh + s + tt,"Noronkatu 3 B, Koivistonkylä, Tampere",309 000 €,64 m²,2021
9988734,Omakotitalo | 2 mh + k + oh + et + kph + s + tt,"Noronkatu 3 A, Koivistonkylä, Tampere",309 000 €,62 m²,2021
20026754,Kerrostalo | 2 mh + k + oh + et + kph + vh + s + tt,"Noronkatu 3 C, Koivistonkylä, Tampere",309 000 €,64 m²,2021
20149896,"Kerrostalo | 2, k, vh, kph / wc, p (yht. järj. mukaan 2h + k)","Multiojankatu 32, Multisilta, Tampere",65 000 €,54 m²,1976
20019845,"Kerrostalo | 2h, k, kph / wc, vh, p","Itsenäisyydenkatu 13, Tammela, Tampere",204 000 €,53 m²,1976
n29639,Kerrostalo | 2h + kt + s,"Konttilukinkatu 11, Härmälänranta, Tampere","28 376,84 €","52,5 m²",2020
n29638,Kerrostalo | 2h + kt,"Konttilukinkatu 11, Härmälänranta, Tampere","26 159,9 €",46 m²,2020
7943688,"Omakotitalo | oh, 3mh, th, var / työtila, k, s-os, khh, 2vh, yk kp","Kolmelankaari 6, Tasanne, Tampere",438 000 €,142 m²,2001
20068875,Kerrostalo | 2h + kt,"Kokinpellonraitti 1, Vuores, Tampere",158 000 €,"38,5 m²",2017
20137858,"Omakotitalo | 5h, k, kph / s, 2xeril.wc, , ak, varasto","Kuorannantie 418, Terälahti, Tampere",285 000 €,"159,3 m²",2008
m42278,Kerrostalo | 4h + kt + s,"Teivaalantie 5 a A 16, Lielahti, Tampere",317 000 €,84 m²,2020
k73848,Kerrostalo | 1h + kt,"Sarvijaakonkatu 1 A A 37, Kaleva, Tampere",184 782 €,29 m²,2020
p34332,Kerrostalo | 1H + TK + S,"PERKIÖNKATU 64, Härmälä, Tampere","11 633,41 €","37,5 m²",2000
p34329,Kerrostalo | 3H + KK + S,"LENTOKONETEHTAANKATU 10-12 JA HÄRMÄLÄNSAARENKATU 9, Härmälä, Tampere","19 262,63 €",60 m²,2001
1277589,Kerrostalo | 2h + kt + s,"Puutarhakatu 20, Hämeenpuisto, Tampere",329 000 €,51 m²,2018
7938457,"Kerrostalo | 2h, kk, rt, kph / wc, sauna + alakerran tilat","Hämeenpuisto 6 B, Hämeenpuisto, Tampere",369 000 €,98 m²,1908
7928272,"Kerrostalo | 1h, kt, kph / wc, parveke","Vasamamittarinkatu 4 B, Atala, Tampere",99 000 €,28 m²,2015
p34299,Kerrostalo | 2h + kt + s,"Alapeusonkatu 13, Kaleva, Tampere",260 000 €arrow_downward270 000 €,52 m²,2018
9515501,Kerrostalo | 2H + KT + pihaterassi,"Atanväylä 6, Atala, Tampere",156 500 €,43 m²,2017
20152763,"Rivitalo | 3h, k, , sauna, pesuh, 2xerill. wc, parveke, 2xvaat","Pirjonkaivonkatu 14, Lukonmäki, Tampere",229 000 €,"86,5 m²",1988
9684743,"Omakotitalo | 6h, k, 2xerill.wc, kph, khh, s, vh, 2xvar, ak","Pallokivikatu 5, Hirvikallio, Tampere",409 000 €,"151,8 m²",2012
1278309,"Kerrostalo | 1h, k, wc / kph","Itsenäisyydenkatu 18, Tammela, Tampere",135 000 €,"44,5 m²",1940
1278090,"Kerrostalo | 1h, kk, psh, s, p","Ollinojankatu 4, Lielahti, Tampere",90 000 €,35 m²,1990
1262735,"Kerrostalo | 2h, kt, kph, parveke","Ali-Huikkaantie 13a A 9, Huikas, Tampere",161 200 €,38 m²,2021
1262670,"Kerrostalo | 3-4h, kt, saunaos, erilliswc, vh, parveke","Ali-Huikkaantie 13a B 45, Huikas, Tampere",289 900 €,"76,5 m²",2021
