675868,"Rivitalo | 3h, k, s","Hirvitie 17 B, Eurajoki, Eurajoki",94 000 €,"83,5 m²",1981
673958,"Omakotitalo | 4h, k","Niementie 18, Luvia, Eurajoki",79 000 €,70 m²,1957
9611361,"Omakotitalo | Alak. k + takkah + 2mh + wc + keskeneräinen saunaos, yläk.","Orjantie 40 B, Orjasaari, Eurajoki",99 500 €,150 m²,1960
7927187,Kerrostalo | 3h + k + s,"Riikontie 1 as, Keskusta, Eurajoki",175 000 €,"63,5 m²",2014
666631,"Rivitalo | 2h, k, s","Kryssikuja 4 as, Luvia, Eurajoki",79 800 €,62 m²,1985
7927823,Kerrostalo | 3h + k + parveke,"Riikonkuja 5 B, Keskusta, Eurajoki",72 000 €,"76,5 m²",1974
9757150,Omakotitalo | tupak + oh + mh + wc + pesuh + s,"Lauhtuntie 35, Irjanne, Eurajoki",78 000 €,88 m²,1900
673886,"Omakotitalo | 5h, k, kph, s, khh, 2 * wc","Ilvestie 13, Kirkonkylä, Eurajoki",237 000 €,125 m²,2014
9590213,Rivitalo | 2h + k + s,"Apilatie 3, Lapijoki, Eurajoki",39 900 €,62 m²,1974
9765728,Omakotitalo | 3h + k + khh + th + s + ph,"Linnaniityntie 50, Kaukonpieli, Eurajoki",88 000 €,122 m²,1900
671231,"Omakotitalo | 5h, k, kph, s, khh","Karhukiventie 63 B, Luvia, Eurajoki",429 000 €,138 m²,1995
9812528,"Rivitalo | 3h, k, s","Ojarinne 3, Lavila, ja Mattila Eurajoki",89 000 €,77 m²,1990
n46827,Omakotitalo | 4h + k + khh + s + ak,"Voikukantie 10, Lavila, Eurajoki",219 000 €,113 m²,2020
9600038,Kerrostalo | 2h + kt,"Weener-tie 3 A 25, Eurajoki, Eurajoki",167 800 €,48 m²,2020
9535068,Rivitalo | 2h + k + s + khh,"Aittatie 1, Lavila, Mattila Eurajoki",99 000 €,65 m²,2006
670010,"Omakotitalo | 3h, k, wc","Linnamaantie 774, ., Eurajoki",66 500 €,70 m²,1953
n29796,Omakotitalo | 4h + avok + khh + saunaosasto,"Huhdantie 181, Irjanne, Eurajoki",128 000 €,111 m²,1998
9896051,"Omakotitalo | 2-3mh, k, oh, ph, s","Branderinkuja 3, Hanninkylä, Eurajoki",93 000 €,100 m²,1927
7915311,Omakotitalo | 5-6h + k + s,"Myllytanhua 8, Luvia, Eurajoki",208 000 €,185 m²,1950
9648127,"Omakotitalo | et, 3mh, wc, k, oh, vh, kh, s, varastot, autotalli","Kiertokuja 7, Luvia, Eurajoki",39 990 €,99 m²,1966
9799747,"Omakotitalo | 4h, k, eteinen, veranta, wc","Hormistontie 266, Luvia, Eurajoki",49 000 €arrow_downward59 000 €,110 m²,1940
7905474,Omakotitalo | 8 h + k + saunaosasto + khh + rantasauna + suuli +,"Kirkkotie 309, Lavila, Eurajoki",335 000 €arrow_downward345 000 €,371 m²,1926
9533715,Rivitalo | 5h + k + s,"Hirvitie 21, Eurajoki, Eurajoki",108 000 €arrow_downward119 500 €,106 m²,1982
659689,Rivitalo | 3h + k + s,"Ojarinne 2 A, Eurajoki, Eurajoki",99 000 €,83 m²,1991
m29447,Omakotitalo | 6 h + k + s,"Olkiluodontie 627, Hankkila, Eurajoki",139 000 €,137 m²,1981
7895612,Omakotitalo | 3mh + k + oh + wc + vh + khh-tila + pesuh / s + takkah / pukuh + at + au,"Rikantilantie 201, Rikantila, Eurajoki",159 000 €,120 m²,1982
9745859,"Omakotitalo | 4h, k, wc / suihku","Koivuniementie 253, Koivuniemi, Eurajoki",49 000 €arrow_downward57 000 €,100 m²,1959
7894184,Omakotitalo | 2 mh + oh + keittiö + wc + sauna / kph + vh + teknin,"Jäkälätie 10, Lapijoki, Eurajoki",109 000 €arrow_downward119 000 €,"81,5 m²",1977
m22928,"Omakotitalo | 4-5h, k, s","Kirkkotie 344, Lavila, Eurajoki",143 000 €arrow_downward149 000 €,160 m²,1972
9530065,"Omakotitalo | 4h, k, wc, kph, s, askarteluhuone","Niementie 484, Luvia, Eurajoki",105 000 €,130 m²,1974
9804975,Omakotitalo | 3 h + k + kph + s + at,"Kanervatie 5, Lapijoki, Eurajoki",115 000 €,103 m²,1969
9930437,"Omakotitalo | Alak. oh + k + pesuh + s + erill. wc, yläk. 3mh + erill. wc","Hirvitie 6, Eurajoki, Eurajoki",124 000 €arrow_downward129 000 €,116 m²,1978
9806167,Kerrostalo | 3h + kt + s,"Weener-tie 3 A 19, Eurajoki, Eurajoki",232 200 €arrow_downward393 600 €,"66,5 m²",2020
9760367,Kerrostalo | 2h + kt + s,"Weener-tie 3 A 20, Eurajoki, Eurajoki",136 600 €,38 m²,2020
9753836,Kerrostalo | 4h + kt + khh + s,"Weener-tie 3 A 17, Eurajoki, Eurajoki",268 900 €,80 m²,2020
9583078,Kerrostalo | 3h + k + s,"Weener-tie 3 A 16, Eurajoki, Eurajoki",219 000 €,64 m²,2020
9683682,Kerrostalo | 1h + kt,"Weener-tie 3 A 15, Eurajoki, Eurajoki",103 000 €,"27,5 m²",2020
9795491,Kerrostalo | 3h + kt + s,"Weener-tie 3 A 13, Eurajoki, Eurajoki",222 209 €arrow_upward222 200 €,"66,5 m²",2020
9742971,Kerrostalo | 2h + kt + s,"Weener-tie 3 A 11, Eurajoki, Eurajoki",139 100 €,41 m²,2020
9771754,Kerrostalo | 1h + kt,"Weener-tie 3 A 8, Eurajoki, Eurajoki",99 000 €,"27,5 m²",2020
9411098,Kerrostalo | 4h + kt + khh + s,"Weener-tie 3 A 10, Eurajoki, Eurajoki",256 700 €,80 m²,2020
9824167,Kerrostalo | 2h + kt + s,"Weener-tie 3 A 7, Eurajoki, Eurajoki",128 600 €,38 m²,2020
9572074,Kerrostalo | 2h + kt + s,"Weener-tie 3 A 4, Eurajoki, Eurajoki",170 700 €,52 m²,2020
9944815,Kerrostalo | 2h + kt,"Weener-tie 3 A 3, Eurajoki, Eurajoki",152 800 €,48 m²,2020
9437102,Kerrostalo | 2h + kt + s,"Weener-tie 3 A 2, Eurajoki, Eurajoki",137 700 €,41 m²,2020
9594028,Kerrostalo | 4h + kt + khh + s,"Weener-tie 3 A 1, Eurajoki, Eurajoki",247 100 €,80 m²,2020
620720,"Rivitalo | 3h, avok, kph, s","Kuussaarikontie 3 as, Luvia, Eurajoki",172 500 €,75 m²,2019
620719,"Rivitalo | 3h, avok, kph, s","Kuussaarikontie 3 as, Luvia, Eurajoki",172 500 €,75 m²,2019
